plot,com,veg_type,exp,top,elev,slope,s_ha,s_m2,n2,e,invasive,rare,tree_cover,shrub_cover,herb_cover,ph,ch,h,cr,th,trees,shrubs,semishrubs,perennials,biennials,annuals,x1_5,x5_10,x10_15,x15_20,x20_25,x25_30,x30_35,x_35,total_stems
sw1085nnw,a,f,een_nnw,convex,1085,36,42,2,9,0.4,0,0,85,3,1,13,0,23,6,0,4,9,0,28,1,0,45,63,38,21,20,5,0,3,195
sw1130n,a,f,n_ne_nne,flat,1130,34,33,2,5,0.4,0,0,90,2,3,9,0,20,4,0,4,5,0,24,0,0,100,130,77,33,26,3,0,0,369
sw1250nw,a,f,e_nw,convex,1250,24,37,6,12,0.6,1,0,80,2,4,12,0,20,5,0,4,8,0,25,0,0,166,265,153,18,4,4,0,0,610
sw1276nnw,a,f,een_nnw,concave,1276,26,33,3,8,0.5,1,0,85,0,1,9,0,19,5,0,2,7,0,24,0,0,5,14,28,29,19,11,10,5,121
sw1319n,a,f,n_ne_nne,concave,1319,27,30,2,5,0.4,0,0,90,0,6,5,0,20,4,1,2,3,0,24,0,1,10,24,23,25,17,20,11,1,131
sww1140nne,a,f,n_ne_nne,flat,1140,32,40,6,18,0.8,2,0,95,0,16,11,0,24,4,1,7,4,0,27,0,2,32,91,52,37,27,0,0,0,239
sww1215n,a,f,n_ne_nne,flat,1215,24,30,5,14,0.7,0,0,85,0,3,7,0,20,3,0,3,4,0,22,1,0,32,134,82,61,17,12,0,4,342
sww1300n,a,f,n_ne_nne,flat,1300,23,43,5,11,0.5,0,0,80,0,20,9,0,29,5,0,4,5,0,34,0,0,6,50,86,83,39,4,0,0,268
e1301nnw,b,f,een_nnw,flat,1301,28,24,5,11,0.7,0,0,90,0,13,3,0,18,3,0,2,1,0,21,0,0,6,17,6,17,22,11,10,9,98
s1156ne,b,f,n_ne_nne,flat,1156,14,26,2,3,0.4,0,0,90,4,2,5,0,20,1,0,3,2,0,21,0,0,143,52,13,8,26,24,17,12,295
s1280wwn,b,f,ees_wwn,convex,1280,9,17,2,3,0.5,1,0,90,0,4,3,0,14,0,0,1,2,0,13,0,1,14,2,9,7,13,8,10,23,86
ssw1229nnw,b,f,een_nnw,convex,1229,19,11,0,2,0.6,0,0,90,0,0,4,0,6,1,0,3,1,0,7,0,0,23,49,34,40,24,8,15,14,207
ssw1305nw,b,f,e_nw,flat,1305,29,17,1,3,0.5,1,0,85,1,2,2,0,14,0,1,2,0,0,14,0,1,56,19,21,10,8,5,8,27,154
sw1201nnw,b,f,een_nnw,flat,1201,29,21,2,5,0.5,0,0,90,0,3,5,0,14,2,0,4,1,0,16,0,0,11,36,33,24,16,9,8,11,148
sw1288e,b,f,e_nw,concave,1288,24,20,2,3,0.4,2,0,85,1,0,7,0,13,0,0,2,5,0,13,0,0,26,31,20,33,27,19,6,5,167
sw1335nnw,b,f,een_nnw,flat,1335,24,36,5,8,0.5,3,0,85,2,6,7,0,22,3,4,4,3,0,24,0,5,20,38,37,25,29,19,1,8,177
sww1340w,b,f,se_w,flat,1340,16,23,2,6,0.5,1,0,80,0,2,4,0,17,1,1,3,1,0,18,0,1,19,88,89,58,32,13,10,15,324
w1185nnw,b,f,een_nnw,concave,1185,16,34,3,11,0.6,1,0,90,0,3,6,0,24,3,1,5,1,0,27,0,1,2,67,90,44,36,14,4,0,257
w1220nne,b,f,n_ne_nne,flat,1220,27,40,4,9,0.4,0,0,90,1,3,5,0,33,1,1,3,2,0,34,0,1,34,91,81,44,27,10,9,0,296
